variable,x,y
distanciarios,-0.04942004978656769,0.0
distanciarios,-0.04823396859169006,0.0
distanciarios,-0.04704788739681244,0.0
distanciarios,-0.045861806201934814,0.0
distanciarios,-0.04467572500705719,0.0
distanciarios,-0.04348964381217956,0.0
distanciarios,-0.04230356261730194,0.0
distanciarios,-0.041117481422424315,0.0
distanciarios,-0.03993140022754669,0.0
distanciarios,-0.03874531903266906,0.0
distanciarios,-0.03755923783779144,0.0
distanciarios,-0.036373156642913816,0.0
distanciarios,-0.03518707544803619,0.0
distanciarios,-0.03400099425315857,0.0
distanciarios,-0.03281491305828095,0.0
distanciarios,-0.03162883186340332,0.0
distanciarios,-0.030442750668525694,0.0
distanciarios,-0.02925666947364807,0.0
distanciarios,-0.028070588278770445,0.0
distanciarios,-0.02688450708389282,0.0
distanciarios,-0.025698425889015195,0.0
distanciarios,-0.024512344694137572,0.0
distanciarios,-0.02332626349925995,0.0
distanciarios,-0.022140182304382323,0.0
distanciarios,-0.0209541011095047,0.0
distanciarios,-0.019768019914627077,0.0
distanciarios,-0.01858193871974945,0.0
distanciarios,-0.017395857524871827,0.0
distanciarios,-0.016209776329994208,0.0
distanciarios,-0.015023695135116581,0.0
distanciarios,-0.013837613940238948,0.0
distanciarios,-0.012651532745361328,0.0
distanciarios,-0.011465451550483702,0.0
distanciarios,-0.010279370355606082,0.0
distanciarios,-0.009093289160728456,0.0
distanciarios,-0.00790720796585083,0.0
distanciarios,-0.006721126770973203,0.0
distanciarios,-0.005535045576095583,0.0
distanciarios,-0.004348964381217957,0.0
distanciarios,-0.0031628831863403373,0.0
distanciarios,-0.001976801991462704,0.0
distanciarios,-7.907207965850843E-4,0.0
distanciarios,3.9536039829254216E-4,0.8385847210884094
distanciarios,0.0015814415931701617,0.8322028517723083
distanciarios,0.002767522788047788,0.8257124423980713
distanciarios,0.003953603982925408,0.8191169500350952
distanciarios,0.005139685177803041,0.8124200701713562
distanciarios,0.006325766372680661,0.8056254982948303
distanciarios,0.007511847567558287,0.7987371683120728
distanciarios,0.008697928762435907,0.7917590141296387
distanciarios,0.009884009957313533,0.7846949100494385
distanciarios,0.01107009115219116,0.7775490880012512
distanciarios,0.012256172347068786,0.7703255414962769
